Id,ORIG_FID,STATE_ROUT,pos,X,Y,pro_X,pro_Y,Index,Elevation
0,0,"STATE OF IOWA, I 35 N",I35N_down,-93.93130000000,40.58080000000,421186.00000000000,4492640.00000000000,0,32589
0,0,"STATE OF IOWA, I 35 N",I35N_down,-93.92540000000,40.58630000000,421691.00000000000,4493240.00000000000,1,33089
0,0,"STATE OF IOWA, I 35 N",I35N_down,-93.91940000000,40.59180000000,422198.00000000000,4493850.00000000000,2,32984
0,2,"STATE OF IOWA, I 35 S",I35S_down,-93.92060000000,40.59120000000,422099.00000000000,4493780.00000000000,505,33061
0,2,"STATE OF IOWA, I 35 S",I35S_down,-93.92650000000,40.58560000000,421593.00000000000,4493170.00000000000,506,32992
0,2,"STATE OF IOWA, I 35 S",I35S_down,-93.93240000000,40.58010000000,421088.00000000000,4492560.00000000000,507,32823
0,0,"STATE OF IOWA, I 35 N",I35N_down,-93.91290000000,40.59650000000,422757.00000000000,4494370.00000000000,3,32190
0,0,"STATE OF IOWA, I 35 N",I35N_down,-93.90670000000,40.60170000000,423290.00000000000,4494930.00000000000,4,33050
0,0,"STATE OF IOWA, I 35 N",I35N_down,-93.90170000000,40.60800000000,423719.00000000000,4495630.00000000000,5,32386
0,0,"STATE OF IOWA, I 35 N",I35N_down,-93.89700000000,40.61460000000,424124.00000000000,4496360.00000000000,6,33970
0,0,"STATE OF IOWA, I 35 N",I35N_down,-93.89230000000,40.62120000000,424529.00000000000,4497090.00000000000,7,33539
0,0,"STATE OF IOWA, I 35 N",I35N_down,-93.88680000000,40.62710000000,425001.00000000000,4497740.00000000000,8,32416
0,0,"STATE OF IOWA, I 35 N",I35N_down,-93.88110000000,40.63290000000,425486.00000000000,4498370.00000000000,9,32107
0,2,"STATE OF IOWA, I 35 S",I35S_down,-93.88200000000,40.63250000000,425415.00000000000,4498330.00000000000,498,32289
0,2,"STATE OF IOWA, I 35 S",I35S_down,-93.88760000000,40.62670000000,424929.00000000000,4497700.00000000000,499,32395
0,2,"STATE OF IOWA, I 35 S",I35S_down,-93.89330000000,40.62090000000,424446.00000000000,4497060.00000000000,500,33687
0,2,"STATE OF IOWA, I 35 S",I35S_down,-93.89890000000,40.61510000000,423962.00000000000,4496420.00000000000,501,33902
0,2,"STATE OF IOWA, I 35 S",I35S_down,-93.90460000000,40.60930000000,423477.00000000000,4495780.00000000000,502,32932
0,2,"STATE OF IOWA, I 35 S",I35S_down,-93.91010000000,40.60340000000,423004.00000000000,4495130.00000000000,503,32342
0,2,"STATE OF IOWA, I 35 S",I35S_down,-93.91530000000,40.59720000000,422556.00000000000,4494450.00000000000,504,32341
0,0,"STATE OF IOWA, I 35 N",I35N_down,-93.87510000000,40.63820000000,426005.00000000000,4498960.00000000000,10,33034
0,0,"STATE OF IOWA, I 35 N",I35N_down,-93.86890000000,40.64340000000,426531.00000000000,4499540.00000000000,11,31371
0,0,"STATE OF IOWA, I 35 N",I35N_down,-93.86310000000,40.64910000000,427027.00000000000,4500160.00000000000,12,30193
0,0,"STATE OF IOWA, I 35 N",I35N_down,-93.85800000000,40.65530000000,427467.00000000000,4500840.00000000000,13,29563
0,0,"STATE OF IOWA, I 35 N",I35N_down,-93.85410000000,40.66230000000,427802.00000000000,4501630.00000000000,14,27853
0,0,"STATE OF IOWA, I 35 N",I35N_down,-93.85090000000,40.66970000000,428085.00000000000,4502440.00000000000,15,27931
0,0,"STATE OF IOWA, I 35 N",I35N_down,-93.84860000000,40.67750000000,428286.00000000000,4503300.00000000000,16,28108
