0,16058,16059,A32561,2023-03-03T20:41Z,-91.479405,42.483557001,https://mesonet.agron.iastate.edu/archive/data/2023/03/03/camera/idot_trucks/A32561/A32561_202303032041.jpg
1,7051,7052,A32870,2023-03-01T18:25Z,-93.08941,41.624377001,https://mesonet.agron.iastate.edu/archive/data/2023/03/01/camera/idot_trucks/A32870/A32870_202303011825.jpg
2,8824,8825,A33497,2023-03-02T14:42Z,-93.636338,43.217355001,https://mesonet.agron.iastate.edu/archive/data/2023/03/02/camera/idot_trucks/A33497/A33497_202303021442.jpg
3,10350,10351,A32586,2023-03-02T17:56Z,-95.881922,41.557312001,https://mesonet.agron.iastate.edu/archive/data/2023/03/02/camera/idot_trucks/A32586/A32586_202303021756.jpg
4,2907,2908,A35686,2023-03-01T00:09Z,-96.304532,42.308397001,https://mesonet.agron.iastate.edu/archive/data/2023/03/01/camera/idot_trucks/A35686/A35686_202303010009.jpg
5,2767,2768,A31380,2023-02-28T23:11Z,-96.48746,42.500182001,https://mesonet.agron.iastate.edu/archive/data/2023/02/28/camera/idot_trucks/A31380/A31380_202302282311.jpg
6,6305,6306,A34756,2023-03-01T16:40Z,-95.150287,43.276698001,https://mesonet.agron.iastate.edu/archive/data/2023/03/01/camera/idot_trucks/A34756/A34756_202303011640.jpg
7,11953,11954,A33487,2023-03-02T21:36Z,-94.008405,41.614498001,https://mesonet.agron.iastate.edu/archive/data/2023/03/02/camera/idot_trucks/A33487/A33487_202303022136.jpg
8,10780,10781,A35238,2023-03-02T18:58Z,-93.308848,41.682013001,https://mesonet.agron.iastate.edu/archive/data/2023/03/02/camera/idot_trucks/A35238/A35238_202303021858.jpg
9,2029,2030,A32084,2023-02-28T18:40Z,-93.455137,41.600597001,https://mesonet.agron.iastate.edu/archive/data/2023/02/28/camera/idot_trucks/A32084/A32084_202302281840.jpg
10,15627,15628,A34658,2023-03-03T19:39Z,-94.156037,42.034700001,https://mesonet.agron.iastate.edu/archive/data/2023/03/03/camera/idot_trucks/A34658/A34658_202303031939.jpg
11,11906,11907,A33300,2023-03-02T21:01Z,-91.967857,41.071852001,https://mesonet.agron.iastate.edu/archive/data/2023/03/02/camera/idot_trucks/A33300/A33300_202303022101.jpg
12,15850,15851,A32072,2023-03-03T20:04Z,-95.028597,43.430477001,https://mesonet.agron.iastate.edu/archive/data/2023/03/03/camera/idot_trucks/A32072/A32072_202303032004.jpg
13,1316,1317,A32914,2023-02-28T15:50Z,-94.220362,43.294278001,https://mesonet.agron.iastate.edu/archive/data/2023/02/28/camera/idot_trucks/A32914/A32914_202302281550.jpg
14,13984,13985,A32543,2023-03-03T16:32Z,-91.550203,41.992920001,https://mesonet.agron.iastate.edu/archive/data/2023/03/03/camera/idot_trucks/A32543/A32543_202303031632.jpg
15,7491,7492,A33484,2023-03-01T19:12Z,-95.812458,43.221592001,https://mesonet.agron.iastate.edu/archive/data/2023/03/01/camera/idot_trucks/A33484/A33484_202303011912.jpg
16,5228,5229,A33489,2023-03-01T14:49Z,-91.911318,42.225310001,https://mesonet.agron.iastate.edu/archive/data/2023/03/01/camera/idot_trucks/A33489/A33489_202303011449.jpg
17,14264,14265,A33985,2023-03-03T16:59Z,-91.670792,43.241073001,https://mesonet.agron.iastate.edu/archive/data/2023/03/03/camera/idot_trucks/A33985/A33985_202303031659.jpg
18,21,22,A32087,2023-02-28T12:54Z,-94.37741,42.005323001,https://mesonet.agron.iastate.edu/archive/data/2023/02/28/camera/idot_trucks/A32087/A32087_202302281254.jpg
19,5953,5954,A33484,2023-03-01T16:01Z,-95.702112,43.483605001,https://mesonet.agron.iastate.edu/archive/data/2023/03/01/camera/idot_trucks/A33484/A33484_202303011601.jpg
20,10327,10328,A33505,2023-03-02T17:48Z,-93.768697,41.677022001,https://mesonet.agron.iastate.edu/archive/data/2023/03/02/camera/idot_trucks/A33505/A33505_202303021748.jpg
21,426,427,A31320,2023-02-28T14:05Z,-94.954928,42.422595001,https://mesonet.agron.iastate.edu/archive/data/2023/02/28/camera/idot_trucks/A31320/A31320_202302281405.jpg
22,13856,13857,A32911,2023-03-03T16:21Z,-95.878223,41.279893001,https://mesonet.agron.iastate.edu/archive/data/2023/03/03/camera/idot_trucks/A32911/A32911_202303031621.jpg
23,11535,11536,A32107,2023-03-02T20:13Z,-91.1606,40.737690001,https://mesonet.agron.iastate.edu/archive/data/2023/03/02/camera/idot_trucks/A32107/A32107_202303022013.jpg
24,6254,6255,A33319,2023-03-01T16:35Z,-95.869373,42.109557001,https://mesonet.agron.iastate.edu/archive/data/2023/03/01/camera/idot_trucks/A33319/A33319_202303011635.jpg
25,7008,7009,A34650,2023-03-01T18:20Z,-95.514817,43.185062001,https://mesonet.agron.iastate.edu/archive/data/2023/03/01/camera/idot_trucks/A34650/A34650_202303011820.jpg
26,11105,11106,A33534,2023-03-02T19:31Z,-93.75873,41.651942001,https://mesonet.agron.iastate.edu/archive/data/2023/03/02/camera/idot_trucks/A33534/A33534_202303021931.jpg
27,3047,3048,A31646,2023-03-01T00:57Z,-96.195537,42.793178001,https://mesonet.agron.iastate.edu/archive/data/2023/03/01/camera/idot_trucks/A31646/A31646_202303010057.jpg
28,11364,11365,A34684,2023-03-02T19:54Z,-92.777555,41.360513001,https://mesonet.agron.iastate.edu/archive/data/2023/03/02/camera/idot_trucks/A34684/A34684_202303021954.jpg
29,945,946,A35663,2023-02-28T14:54Z,-95.551275,42.748580001,https://mesonet.agron.iastate.edu/archive/data/2023/02/28/camera/idot_trucks/A35663/A35663_202302281454.jpg
